"","from","to","freq"
"1","ATL","ABE",852
"2","CLE","ABE",805
"3","CLT","ABE",465
"4","CVG","ABE",248
"5","DTW","ABE",997
"6","LNK","ABE",1
"7","MKE","ABE",1
"8","ORD","ABE",1426
"9","CMI","ABI",1
"10","DFW","ABI",2660
"11","AMA","ABQ",366
"12","ATL","ABQ",1064
"13","AUS","ABQ",435
"14","BWI","ABQ",549
"15","CLE","ABQ",12
"16","COS","ABQ",1
"17","CVG","ABQ",260
"18","DAL","ABQ",3106
"19","DEN","ABQ",4309
"20","DFW","ABQ",2888
"21","DRO","ABQ",1
"22","ELP","ABQ",792
"23","EWR","ABQ",166
"24","HOU","ABQ",1023
"25","IAD","ABQ",365
"26","IAH","ABQ",2261
"27","LAS","ABQ",2408
"28","LAX","ABQ",2415
"29","LBB","ABQ",366
"30","MAF","ABQ",366
"31","MCI","ABQ",670
"32","MCO","ABQ",726
"33","MDW","ABQ",730
"34","MSP","ABQ",677
"35","OAK","ABQ",1004
"36","OKC","ABQ",231
"37","OMA","ABQ",1
"38","ONT","ABQ",443
"39","ORD","ABQ",754
"40","PDX","ABQ",366
"41","PHX","ABQ",5234
"42","SAN","ABQ",1054
"43","SAT","ABQ",426
"44","SEA","ABQ",708
"45","SFO","ABQ",529
"46","SLC","ABQ",2293
"47","SMF","ABQ",466
"48","STL","ABQ",366
"49","TPA","ABQ",366
"50","TUL","ABQ",229
"51","TUS","ABQ",718
"52","ATL","ABY",1095
"53","BOS","ACK",1
"54","EWR","ACK",234
"55","JFK","ACK",234
"56","DFW","ACT",1994
"57","CEC","ACV",360
"58","SFO","ACV",2337
"59","SLC","ACV",389
"60","SMF","ACV",616
"61","ATL","ACY",113
"62","ANC","ADK",102
"63","ANC","ADQ",706
"64","ATL","AEX",982
"65","DFW","AEX",1003
"66","IAH","AEX",342
"67","ATL","AGS",2381
"68","CLT","AGS",17
"69","IAH","AGS",1
"70","LGA","AGS",7
"71","ANC","AKN",116
"72","ATL","ALB",1153
"73","BWI","ALB",2296
"74","CLE","ALB",1106
"75","CLT","ALB",978
"76","CVG","ALB",912
"77","DCA","ALB",304
"78","DTW","ALB",1013
"79","EWR","ALB",619
"80","FLL","ALB",60
"81","JFK","ALB",364
"82","LAS","ALB",366
"83","MCO","ALB",1040
"84","MDW","ALB",729
"85","MSP","ALB",57
"86","ORD","ALB",1632
"87","PHL","ALB",448
"88","TPA","ALB",391
"89","MSP","ALO",323
"90","ABQ","AMA",368
"91","DAL","AMA",2665
"92","DEN","AMA",731
"93","DFW","AMA",2551
"94","IAH","AMA",807
"95","LAS","AMA",367
"96","SAT","AMA",1
"97","ADK","ANC",102
"98","ADQ","ANC",706
"99","AKN","ANC",78
"100","ATL","ANC",115
"101","BET","ANC",1035
"102","BRW","ANC",364
"103","CDV","ANC",363
"104","CVG","ANC",90
"105","DEN","ANC",451
"106","DFW","ANC",153
"107","DLG","ANC",116
"108","DTW","ANC",96
